rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
112,frame_0128.jpg,51.2,0.4381,0.5402,0.0,0.84,4,0,False,False
113,frame_0202.jpg,80.8,0.4379,0.4109,0.375,0.6,3,3,False,False
114,frame_0393.jpg,157.2,0.4378,0.7846,0.125,0.04,1,1,False,False
115,frame_0168.jpg,67.2,0.4367,0.5745,0.125,0.56,4,1,False,False
116,frame_0394.jpg,157.6,0.4314,0.6057,0.375,0.08,3,3,False,False
117,frame_0390.jpg,156.0,0.4313,0.4556,0.625,0.08,6,5,False,False
118,frame_0304.jpg,121.6,0.4309,0.5089,0.375,0.32,5,3,False,False
119,frame_0218.jpg,87.2,0.4306,0.6422,0.125,0.36,2,1,False,False
120,frame_0008.jpg,3.2,0.4303,0.3106,0.25,1.0,3,2,False,False
121,frame_0013.jpg,5.2,0.4302,0.3854,0.125,1.0,2,1,False,False
122,frame_0302.jpg,120.8,0.4294,0.4739,0.375,0.4,5,3,False,False
123,frame_0169.jpg,67.6,0.4266,0.4953,0.25,0.52,6,2,False,False
124,frame_0208.jpg,83.2,0.4245,0.47,0.125,0.76,2,1,False,False
125,frame_0005.jpg,2.0,0.424,0.2981,0.25,1.0,5,2,False,False
126,frame_0308.jpg,123.2,0.4223,0.4805,0.5,0.16,5,4,False,False
127,frame_0085.jpg,34.0,0.4222,0.5453,0.125,0.56,2,1,False,False
128,frame_0176.jpg,70.4,0.4219,0.4478,0.5,0.24,7,4,False,False
129,frame_0398.jpg,159.2,0.4211,0.5212,0.375,0.24,4,3,False,False
130,frame_0211.jpg,84.4,0.4206,0.5102,0.125,0.64,2,1,False,False
131,frame_0023.jpg,9.2,0.4163,0.3576,0.125,1.0,1,1,False,False
132,frame_0177.jpg,70.8,0.4163,0.5277,0.375,0.2,5,3,False,False
133,frame_0012.jpg,4.8,0.4162,0.3573,0.125,1.0,2,1,False,False
134,frame_0231.jpg,92.4,0.416,0.5429,0.375,0.16,7,3,False,False
135,frame_0127.jpg,50.8,0.4152,0.3604,0.25,0.8,4,2,False,False
136,frame_0189.jpg,75.6,0.4147,0.6474,0.25,0.08,3,2,False,False
137,frame_0017.jpg,6.8,0.4126,0.3502,0.125,1.0,3,1,False,False
138,frame_0032.jpg,12.8,0.4106,0.3462,0.125,1.0,6,1,False,False
139,frame_0388.jpg,155.2,0.4088,0.4535,0.5,0.16,6,4,False,False
140,frame_0206.jpg,82.4,0.4071,0.5101,0.0,0.76,2,0,False,False
141,frame_0322.jpg,128.8,0.4071,0.4502,0.5,0.16,6,4,False,False
142,frame_0171.jpg,68.4,0.4049,0.4838,0.25,0.44,3,2,False,False
143,frame_0106.jpg,42.4,0.4042,0.4925,0.5,0.04,6,4,False,False
144,frame_0090.jpg,36.0,0.4035,0.438,0.375,0.36,5,3,False,False
145,frame_0115.jpg,46.0,0.4033,0.4536,0.375,0.32,4,3,False,False
146,frame_0333.jpg,133.2,0.4021,0.5472,0.375,0.08,6,3,False,False
147,frame_0300.jpg,120.0,0.3998,0.3827,0.375,0.48,5,3,False,False
148,frame_0385.jpg,154.0,0.3994,0.4189,0.5,0.2,5,4,False,False
149,frame_0095.jpg,38.0,0.3991,0.4342,0.5,0.16,6,4,False,False
150,frame_0103.jpg,41.2,0.3987,0.4333,0.5,0.16,5,4,False,False
151,frame_0330.jpg,132.0,0.3987,0.5564,0.375,0.04,7,3,False,False
152,frame_0179.jpg,71.6,0.395,0.517,0.375,0.12,4,3,False,False
153,frame_0332.jpg,132.8,0.3925,0.6189,0.25,0.04,5,2,False,False
154,frame_0269.jpg,107.6,0.3875,0.6089,0.25,0.04,4,2,False,False
155,frame_0321.jpg,128.4,0.3858,0.3916,0.5,0.2,6,4,False,False
156,frame_0114.jpg,45.6,0.3828,0.4287,0.375,0.28,6,3,False,False
157,frame_0224.jpg,89.6,0.3815,0.5649,0.25,0.12,3,2,False,False
158,frame_0026.jpg,10.4,0.3808,0.2865,0.125,1.0,2,1,False,False
159,frame_0230.jpg,92.0,0.3803,0.4876,0.375,0.12,5,3,False,False
160,frame_0299.jpg,119.6,0.3786,0.3991,0.25,0.52,4,2,False,False
161,frame_0268.jpg,107.2,0.3773,0.4976,0.375,0.08,4,3,False,False
162,frame_0283.jpg,113.2,0.3758,0.4686,0.125,0.52,4,1,False,False
163,frame_0018.jpg,7.2,0.3753,0.2756,0.125,1.0,4,1,False,False
164,frame_0279.jpg,111.6,0.375,0.456,0.25,0.36,6,2,False,False
165,frame_0203.jpg,81.2,0.3707,0.4853,0.0,0.64,3,0,False,False
166,frame_0194.jpg,77.6,0.3689,0.5508,0.125,0.28,2,1,False,False
167,frame_0303.jpg,121.2,0.3688,0.4435,0.25,0.36,4,2,False,False
168,frame_0022.jpg,8.8,0.3672,0.2594,0.125,1.0,2,1,False,False
169,frame_0199.jpg,79.6,0.3665,0.466,0.125,0.48,1,1,False,False
170,frame_0396.jpg,158.4,0.3662,0.5184,0.25,0.16,5,2,False,False
171,frame_0196.jpg,78.4,0.3654,0.5117,0.125,0.36,2,1,False,False
